Identifier,ARN,Resource type,Region,AWS account,Application,LastReportedAt,Service,Tags,Tag:sec:data-classification,Tag:ops:tfe_workspace,Tag:map-migrated,Tag:ops:environment,Tag:org:business-area,Tag:ops:status,Tag:ops:platform,Tag:sec:regulated,Tag:ops:managed-by,Tag:sec:territory,Tag:org:team,Tag:ops:region,Tag:org:department,Tag:org:division,Tag:app:name,Tag:ops:tf_module,Tag:aws:cloudformation:stack-id,Tag:aws:cloudformation:logical-id,Tag:aws:cloudformation:stack-name
personalisation-lobby-historical-game-titles-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-historical-game-titles-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:24 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,historical-game-titles-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-game-config,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-game-config,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:30 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,game-config,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-section-view,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-section-view,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:22 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,section-view,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-personalised-extra-data-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-personalised-extra-data-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:26 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,personalised-extra-data-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-mini-games-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-mini-games-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:19 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,mini-games-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-layouts-rs,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-layouts-rs,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:31 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,layouts-rs,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-get-bulk-game-data,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-get-bulk-game-data,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:30 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,get-bulk-game-data,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-historical-game-titles-handler,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-historical-game-titles-handler,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:21 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,historical-game-titles-handler,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-categories-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-categories-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:20 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,categories-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-game-config-rs,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-game-config-rs,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:19 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,game-config-rs,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-suggested-for-you-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-suggested-for-you-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:28 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,suggested-for-you-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-because-you-played,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-because-you-played,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:23 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,because-you-played,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-game-titles,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-game-titles,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:23 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,game-titles,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-game-info,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-game-info,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:30 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,game-info,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
persona-transformer,arn:aws:lambda:eu-west-2:658499212567:function:persona-transformer,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:29 GMT+0000 (Greenwich Mean Time),lambda,15,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,(not tagged),terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-suggested-for-you,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-suggested-for-you,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:24 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,suggested-for-you,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-layouts-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-layouts-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:25 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,layouts-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-game-info-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-game-info-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:24 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,game-info-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-section-games-rs,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-section-games-rs,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:18 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,section-games-rs,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-game-info-rs,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-game-info-rs,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:28 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,game-info-rs,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-recommended-games-on-exit,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-recommended-games-on-exit,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:26 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,recommended-games-on-exit,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-section-games,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-section-games,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:24 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,section-games,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-categories-rs,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-categories-rs,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:29 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,categories-rs,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-because-you-played-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-because-you-played-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:29 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,because-you-played-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-game-titles-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-game-titles-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:26 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,game-titles-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-personalised-extra-data,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-personalised-extra-data,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:27 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,personalised-extra-data,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-view,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-view,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:26 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,view,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
aws-controltower-NotificationForwarder,arn:aws:lambda:eu-west-2:658499212567:function:aws-controltower-NotificationForwarder,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:25 GMT+0000 (Greenwich Mean Time),lambda,3,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:cloudformation:eu-west-2:658499212567:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-6c17d185-f504-45d6-a75b-3ecae39d2d15/26ec23c0-4254-11ee-a81b-025977733b5c,ForwardSnsNotification,StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-6c17d185-f504-45d6-a75b-3ecae39d2d15
personalisation-lobby-navigation,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-navigation,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:27 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,navigation,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-mini-games-rs,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-mini-games-rs,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:27 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,mini-games-rs,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-game-config-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-game-config-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:28 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,game-config-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-old-search,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-old-search,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:21 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,old-search,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-old-search-rs,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-old-search-rs,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:22 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,old-search-rs,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
