"resourceName","resourceId","configuration.runtime","configuration.memorySize","configuration.timeout","configuration.ephemeralStorage.size","configuration.architectures","configuration.vpcConfig","configuration.reservedConcurrentExecutions","configuration.tracingConfig.mode","configuration.layers","configuration.role"
"personalisation-lobby-game-info-rs","personalisation-lobby-game-info-rs","provided.al2023",128,360,512,"arm64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-game-info-rs"
"personalisation-lobby-game-info-ts","personalisation-lobby-game-info-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-game-info-ts"
"personalisation-lobby-game-shuffle","personalisation-lobby-game-shuffle","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-game-shuffle"
"personalisation-lobby-game-titles","personalisation-lobby-game-titles","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-game-titles"
"personalisation-lobby-game-titles-rs","personalisation-lobby-game-titles-rs","provided.al2023",128,360,512,"arm64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-game-titles-rs"
"personalisation-lobby-game-titles-ts","personalisation-lobby-game-titles-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-game-titles-ts"
"personalisation-lobby-get-bulk-game-data","personalisation-lobby-get-bulk-game-data","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-get-bulk-game-data"
"personalisation-lobby-get-bulk-game-data-ts","personalisation-lobby-get-bulk-game-data-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-get-bulk-game-data-ts"
"personalisation-lobby-historical-game-titles","personalisation-lobby-historical-game-titles","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-historical-game-titles"
"personalisation-lobby-historical-game-titles-handler","personalisation-lobby-historical-game-titles-handler","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-historical-game-titles-handler"
"personalisation-lobby-historical-game-titles-handler-ts","personalisation-lobby-historical-game-titles-handler-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-historical-game-titles-handler-ts"
"personalisation-lobby-historical-game-titles-ts","personalisation-lobby-historical-game-titles-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-historical-game-titles-ts"
"personalisation-lobby-layouts-rs","personalisation-lobby-layouts-rs","provided.al2023",128,360,512,"arm64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-layouts-rs"
"personalisation-lobby-layouts-ts","personalisation-lobby-layouts-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-layouts-ts"
"personalisation-lobby-mini-games","personalisation-lobby-mini-games","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-mini-games"
"personalisation-lobby-mini-games-rs","personalisation-lobby-mini-games-rs","provided.al2023",128,360,512,"arm64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-mini-games-rs"
"personalisation-lobby-mini-games-ts","personalisation-lobby-mini-games-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-mini-games-ts"
"personalisation-lobby-navigation","personalisation-lobby-navigation","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-navigation"
"personalisation-lobby-old-search","personalisation-lobby-old-search","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-old-search"
"personalisation-lobby-old-search-rs","personalisation-lobby-old-search-rs","provided.al2023",128,360,512,"arm64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-old-search-rs"
"personalisation-lobby-old-search-ts","personalisation-lobby-old-search-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-old-search-ts"
"personalisation-lobby-os-auto-scaler","personalisation-lobby-os-auto-scaler","python3.13",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-os-auto-scaler"
"personalisation-lobby-personalised-extra-data","personalisation-lobby-personalised-extra-data","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-personalised-extra-data"
"personalisation-lobby-personalised-extra-data-ts","personalisation-lobby-personalised-extra-data-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-personalised-extra-data-ts"
"personalisation-lobby-recently-played","personalisation-lobby-recently-played","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-recently-played"
"personalisation-lobby-recommended-games-on-exit","personalisation-lobby-recommended-games-on-exit","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-recommended-games-on-exit"
"personalisation-lobby-section-games","personalisation-lobby-section-games","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-section-games"
"personalisation-lobby-section-games-rs","personalisation-lobby-section-games-rs","provided.al2023",128,360,512,"arm64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-section-games-rs"
"personalisation-lobby-section-games-ts","personalisation-lobby-section-games-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-section-games-ts"
"personalisation-lobby-section-view","personalisation-lobby-section-view","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-section-view"
"personalisation-lobby-suggested-for-you","personalisation-lobby-suggested-for-you","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-suggested-for-you"
"personalisation-lobby-suggested-for-you-ts","personalisation-lobby-suggested-for-you-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-suggested-for-you-ts"
"personalisation-lobby-variant","personalisation-lobby-variant","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-variant"
"personalisation-lobby-view","personalisation-lobby-view","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-view"
