Identifier,ARN,Resource type,Region,AWS account,Application,LastReportedAt,Service,Tags,Tag:sec:data-classification,Tag:ops:tfe_workspace,Tag:map-migrated,Tag:ops:environment,Tag:ops:tf_module,Tag:org:business-area,Tag:ops:status,Tag:ops:platform,Tag:sec:regulated,Tag:ops:managed-by,Tag:sec:territory,Tag:org:team,Tag:ops:region,Tag:org:department,Tag:org:division
restapis/25s65e3wn9/resources/8k73hf,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/8k73hf,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:40 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/qgo25v8kfa/deployments/gwlmyn,arn:aws:apigateway:eu-west-2::/restapis/qgo25v8kfa/deployments/gwlmyn,apigateway:restapis/deployments,eu-west-2,658499212567,-,Mon Jan 26 2026 01:33:05 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/3apf83/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/3apf83/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:13 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/yeidtw,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/yeidtw,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:48 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/d11zpyjer5/resources/9x6slu/methods/OPTIONS,arn:aws:apigateway:eu-west-2::/restapis/d11zpyjer5/resources/9x6slu/methods/OPTIONS,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:38 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/ou62p5,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/ou62p5,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:42 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/3z2agx,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/3z2agx,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:45 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/tbibhz,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/tbibhz,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:47 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/zl4vnw/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/zl4vnw/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:24 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/pgrg06,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/pgrg06,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:46 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/lwy5nd,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/lwy5nd,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:46 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/5tr133,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/5tr133,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:39 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/1z8w86,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/1z8w86,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:44 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/90o4vp,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/90o4vp,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:40 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/qgo25v8kfa/resources/u5pmiv,arn:aws:apigateway:eu-west-2::/restapis/qgo25v8kfa/resources/u5pmiv,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:49 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/uqtuyw/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/uqtuyw/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:34 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/8k73hf/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/8k73hf/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:15 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/vj1jg1,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/vj1jg1,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:48 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/qgo25v8kfa/resources/u5pmiv/methods/POST,arn:aws:apigateway:eu-west-2::/restapis/qgo25v8kfa/resources/u5pmiv/methods/POST,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:41 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/stages/v1,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/stages/v1,apigateway:restapis/stages,eu-west-2,658499212567,-,Tue Jan 27 2026 06:51:22 GMT+0000 (Greenwich Mean Time),apigateway,15,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,terraform-aws-api-gateway,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology
restapis/25s65e3wn9/resources/gu5n03,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/gu5n03,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:41 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/vj1jg1/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/vj1jg1/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:37 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/deployments/ocwnye,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/deployments/ocwnye,apigateway:restapis/deployments,eu-west-2,658499212567,-,Mon Jan 26 2026 01:33:05 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/228nc6/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/228nc6/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:27 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/kveh92,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/kveh92,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:41 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/0n10sq/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/0n10sq/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:09 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/qgo25v8kfa/resources/u5pmiv/methods/OPTIONS,arn:aws:apigateway:eu-west-2::/restapis/qgo25v8kfa/resources/u5pmiv/methods/OPTIONS,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:41 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/qgo25v8kfa/stages/v1,arn:aws:apigateway:eu-west-2::/restapis/qgo25v8kfa/stages/v1,apigateway:restapis/stages,eu-west-2,658499212567,-,Tue Jan 27 2026 06:51:23 GMT+0000 (Greenwich Mean Time),apigateway,15,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,terraform-aws-api-gateway,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology
restapis/25s65e3wn9/resources/qq1evn,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/qq1evn,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:42 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/6rvb52,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/6rvb52,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:45 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/d11zpyjer5,arn:aws:apigateway:eu-west-2::/restapis/d11zpyjer5,apigateway:restapis,eu-west-2,658499212567,-,Fri Jan 16 2026 20:49:53 GMT+0000 (Greenwich Mean Time),apigateway,15,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,terraform-aws-api-gateway,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology
restapis/25s65e3wn9/resources/ujj6yvtog7,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/ujj6yvtog7,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:43 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/0ox4x7,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/0ox4x7,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:38 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/ey9mxs,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/ey9mxs,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:41 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/pcie4o/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/pcie4o/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:19 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/u1xkod/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/u1xkod/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:20 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/qx0xoh,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/qx0xoh,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:42 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/uqtuyw,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/uqtuyw,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:47 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/0n10sq,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/0n10sq,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:38 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/stages/v2,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/stages/v2,apigateway:restapis/stages,eu-west-2,658499212567,-,Tue Jan 27 2026 06:51:22 GMT+0000 (Greenwich Mean Time),apigateway,15,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,terraform-aws-api-gateway,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology
restapis/b68dvu4ohl/resources/g5oob9,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/g5oob9,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:45 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/3apf83,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/3apf83,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:39 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/17pw6l,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/17pw6l,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:39 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/d11zpyjer5/resources/5dcxsz1ex5,arn:aws:apigateway:eu-west-2::/restapis/d11zpyjer5/resources/5dcxsz1ex5,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:49 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/rcenza/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/rcenza/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:33 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/d11zpyjer5/deployments/xefyvy,arn:aws:apigateway:eu-west-2::/restapis/d11zpyjer5/deployments/xefyvy,apigateway:restapis/deployments,eu-west-2,658499212567,-,Mon Jan 26 2026 01:33:05 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/deployments/gcowzj,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/deployments/gcowzj,apigateway:restapis/deployments,eu-west-2,658499212567,-,Mon Jan 26 2026 01:33:05 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/ytft7i/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/ytft7i/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:26 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/p6flyt,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/p6flyt,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:46 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
